,Accuracy,Precision,Recall,F1 Score,AUC
0,0.8448275862068966,0.542016806722689,0.5694444444444444,0.548051948051948,0.6759259259259259
1,0.8793103448275862,0.4473684210526316,0.49038461538461536,0.46788990825688076,0.8269230769230769
2,0.8275862068965517,0.5325,0.5601851851851851,0.5352564102564102,0.6388888888888888
3,0.7931034482758621,0.6444805194805194,0.7224999999999999,0.6634429400386848,0.8425
4,0.8793103448275862,0.7787878787878788,0.615,0.6484848484848484,0.8825
5,0.9310344827586207,0.8472222222222222,0.7403846153846154,0.7811320754716982,0.7467948717948718
6,0.8620689655172413,0.6528301886792454,0.6134453781512605,0.6282051282051282,0.7478991596638656
7,0.8448275862068966,0.5448717948717949,0.5528301886792453,0.548051948051948,0.618867924528302
8,0.8103448275862069,0.6083333333333333,0.6456582633053222,0.6209150326797386,0.8711484593837535
9,0.896551724137931,0.6303030303030303,0.5811320754716981,0.5972222222222222,0.8037735849056604
Mean,0.8568965517241379,0.6228714195453345,0.6090964766006387,0.6038652461719507,0.7655221892014346
