,Accuracy,Precision,Recall,F1 Score,AUC
0,0.8846153846153846,0.6853801169590643,0.6549364613880744,0.6680851063829787,0.935483870967742
1,0.9230769230769231,0.8267045454545454,0.8650793650793651,0.8441947565543071,0.915873015873016
2,0.875,0.7359702501690331,0.776984126984127,0.7535994168033534,0.8952380952380953
3,0.8942307692307693,0.7404692082111437,0.7228260869565217,0.7311398354876616,0.8876811594202898
4,0.8942307692307693,0.7585227272727273,0.8076923076923077,0.7796185706029667,0.9239222316145393
5,0.8846153846153846,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.9365079365079365
6,0.8557692307692307,0.749438202247191,0.7151162790697674,0.7298701298701298,0.8856589147286821
7,0.8846153846153846,0.7574468085106383,0.692063492063492,0.7173913043478262,0.8809523809523809
8,0.8942307692307693,0.7805474095796676,0.7277777777777779,0.7499453551912569,0.9603174603174603
9,0.9134615384615384,0.769047619047619,0.8313782991202345,0.7954098360655737,0.9012707722385142
Mean,0.8903846153846153,0.7555907839832582,0.754623514851262,0.7521635263687007,0.9122905837858655
