,Accuracy,Precision,Recall,F1 Score,AUC
0,0.9029850746268657,0.823005698005698,0.8552683117900509,0.8376665734787065,0.9306698002350177
1,0.8432835820895522,0.7791053921568627,0.7853116191669276,0.7821138211382114,0.9032258064516129
2,0.8656716417910447,0.7442722371967655,0.8179824561403508,0.7715909090909091,0.9223684210526316
3,0.8507462686567164,0.7550082101806239,0.7849541284403669,0.7680858428521979,0.92
4,0.8582089552238806,0.7670454545454546,0.7587155963302752,0.7627434535458019,0.9244036697247707
5,0.8880597014925373,0.8211538461538461,0.8468328141225338,0.8328760289348964,0.9297334717895466
6,0.8432835820895522,0.7695417789757413,0.7627257799671593,0.766026440508855,0.8788177339901477
7,0.8582089552238806,0.7950203570310053,0.801923076923077,0.7983685752752039,0.9067307692307693
8,0.917910447761194,0.8516787815853236,0.8848484848484849,0.8668112406252824,0.9556818181818182
9,0.9029850746268657,0.8204177897574124,0.872502937720329,0.8425951025571519,0.9349784567175871
Mean,0.873134328358209,0.7926249545588733,0.8171065205449555,0.8028877988007217,0.9206609947373903
