,Accuracy,Precision,Recall,F1 Score,AUC
0,0.8675496688741722,0.6428884986830553,0.6595588235294118,0.650462962962963,0.8941176470588235
1,0.8543046357615894,0.7084826762246117,0.7556776556776557,0.7275262467191601,0.9025641025641026
2,0.8609271523178808,0.7377410468319558,0.7931385869565217,0.759718117754035,0.9259510869565217
3,0.8609271523178808,0.6638779527559056,0.7448529411764706,0.6908452763966072,0.8774509803921569
4,0.8741721854304636,0.751271905031091,0.8132487667371389,0.7758768846183892,0.8777307963354475
5,0.8741721854304636,0.7393372703412073,0.7672161172161172,0.7519239083441418,0.8666666666666667
6,0.8609271523178808,0.740231259968102,0.6976706036745407,0.7152734129478315,0.8605643044619422
7,0.8344370860927153,0.6363240418118467,0.7301470588235295,0.6610397773188471,0.8892156862745098
8,0.8807947019867549,0.7352941176470589,0.9333333333333333,0.7842857142857143,0.9537037037037037
9,0.8807947019867549,0.73,0.8122389306599833,0.7605708245243129,0.924812030075188
Mean,0.8649006622516555,0.7085448769294833,0.7707082817784704,0.7277523125872003,0.8972777004489062
