,Accuracy,Precision,Recall,F1 Score,AUC
0,0.8791946308724832,0.7929196282121378,0.8252884031572556,0.8073275862068966,0.9161353976927747
1,0.87248322147651,0.8045053272450533,0.8378250591016548,0.8189897698209718,0.9114488348530901
2,0.8557046979865772,0.7615089514066496,0.8060231949120837,0.7797487065779749,0.9173961840628507
3,0.8523489932885906,0.7451127819548872,0.8154838709677419,0.7704481792717086,0.8915322580645161
4,0.8691275167785235,0.790920716112532,0.8226721509112829,0.8048788677534711,0.9253953620310615
5,0.8691275167785235,0.7812192723697149,0.8423868312757201,0.8048788677534711,0.9236812570145904
6,0.8691275167785235,0.7990243587258513,0.8162930563149262,0.8070813206513621,0.9427966101694916
7,0.8624161073825504,0.771845801257566,0.8510928961748634,0.7994254288763031,0.9329842137219186
8,0.8993288590604027,0.8322888875100825,0.8797957591660166,0.852426543413668,0.963052265796752
9,0.8355704697986577,0.7516925527678215,0.8098039215686275,0.7723949809056192,0.9035014005602241
Mean,0.8664429530201343,0.7831038277562297,0.8306665143550174,0.8017600251231446,0.922792378396727
